"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","登录-两种方式同时传","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","地区列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","购物车列表-DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","10","加入购物车-数量为0","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","各状态订单数量-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","32","取消订单-已支付不可取消","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","13","修改地址","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","文章列表-关键字","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","5","提交订单-商品不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","评价统计","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","首页装修数据","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","获取默认地址-成功","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","上传图片-非图片文件","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","45","新增地址-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","9","支付订单","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","39","提交充值-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","32","新增地址-默认地址DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","支付订单-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","修改数量-数量超大","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","余额明细-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","帮助中心","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","订单详情","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","订单列表-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","41","确认收货","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","11","短信验证码","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","删除地址-不存在（幂等删除）","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","10","上传图片-空文件","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","15","登录-错误密码","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","41","取消订单-新订单DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","可领取优惠券列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","7","短信验证码-scene非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","21","申请售后-重复申请","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","10","提交充值","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","我的优惠券","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","58","领取优惠券","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","修改资料-gender非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","29","支付订单-新订单DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","35","加入购物车-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","地址详情-非数字ID","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","8","短信验证码-重复发送","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","新增商品-必填缺失","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","积分明细-分页","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","修改数量-SKU不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","购物车列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","售后单列表-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","取消订单-重复取消","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","充值记录-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-keywordSQL注入","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","文章分类","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","文章详情-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","申请售后-必填缺失","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","43","上传图片-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","14","设置默认地址","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","10","提交评价-重复评价","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","9","验证码登录-成功","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","充值套餐列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","评价列表-评分筛选","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","14","登录-密码为空","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","登录-手机号格式错误","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","提交订单-数量为0","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","售后单详情","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","商品列表-size超大","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","14","新增地址","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","地址列表-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","领取优惠券-重复领取","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","8","文章详情","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","12","提交评价-评分越界","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","文章列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","加入购物车-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","登录-错误验证码","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","加入购物车-商品不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","7","清空购物车","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","评价列表-分页","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","商品规格数据","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","订单列表-分页边界","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","删除商品-不存在（幂等删除）","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","18","申请售后","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","提交评价-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品服务保障","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","地址列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","22","新增商品-名称超长","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","商城设置","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","11","提交订单-取消链路DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","首页装修-页面不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","修改资料-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","提交订单-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","商品列表-组合查询","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","31","获取用户信息-DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","提交订单-mode非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","订单列表-状态筛选","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","7","修改资料-XSS","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","确认收货-非待收货订单","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","13","提交订单-新订单DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","8","支付订单-内置906","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","领取优惠券-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","商品评价列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","购物车列表-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","地址详情-SQL注入","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","订单待评价商品","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","订单物流","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","7","删除商品-成功","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","商品列表-价格区间","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","新增地址-必填缺失","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","25","设置默认-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","编辑商品-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","26","上传图片","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","订单物流-新订单","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","新增地址-必填缺失","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","积分明细-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","地址详情-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","加入购物车-SKU不匹配","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","退出登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","地区三级树-结构校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","8","设置默认-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","充值记录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-排序非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-keywordXSS","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-关键字搜索","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品详情-ID为0","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","申请售后-订单商品不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","9","修改个人资料","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","130","提交评价","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","8","申请售后-类型非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-价格升序","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","待评价商品-订单不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","5","填写退货物流-待审核状态不可填","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","地区三级树","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","9","编辑商品","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","填写退货物流-必填缺失","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","16","登录成功","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","修改地址-手机号格式错误","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品详情-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","积分明细","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","9","新增地址-姓名超长","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-page超大","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","33","领取优惠券-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","物流公司列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","7","修改购物车数量","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","账户资产","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","充值套餐列表-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","37","新增商品-成功DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","修改地址-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","24","修改资料-昵称DB校验","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","18","新增商品-价格为负","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","申请售后-商品详情","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","我的优惠券-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","退出登录-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","订单列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","获取默认地址ID","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","商品列表-size为0","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","提交充值-套餐不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","确认收货-重复收货","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","填写退货物流-售后单不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","短信验证码-手机号10位","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","修改资料-gender非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","17","新增商品","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","12","提交订单","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","文章列表-分类筛选","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","申请售后-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","加入购物车-超过库存","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","订单详情-新订单","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","分类树","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","10","修改资料-昵称超长","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","9","取消订单","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","文章列表-分页","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","图形验证码","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","售后单详情-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","14","登录-密码SQL注入","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","修改数量-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","提交评价-订单不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","提交订单-地址不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品详情","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","获取用户信息","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","提交充值-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","订单详情-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","各状态订单数量","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
